PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,LONGITUDE,LATITUDE
None,,1,2030,2016,ADA_APSPt_1072,1473888672000,1719520978000,,{AD1D1217-D29C-4816-95ED-D36D5691BD88},1072,-77.04350256957552,38.90887337790033
None,,1,2030,2016,ADA_APSPt_1073,1473389543000,1719520978000,,{448720E6-A643-4FDB-9328-A35A5F9ADD6B},1073,-77.06769974761669,38.90499038922421
None,,1,2030,2016,ADA_APSPt_1074,1471032064000,1719520978000,,{3F21C38B-372F-4932-BEE8-D682B6982E5B},1074,-77.02817731891395,38.90730229305164
None,,1,2030,2016,ADA_APSPt_1075,1472708080000,1719520978000,,{90F64839-7043-4501-8019-9C71C5509940},1075,-77.01745224538799,38.88742098093995
None,,1,2030,2016,ADA_APSPt_1076,1471293941000,1719520978000,,{1779C9A1-0C79-4FF3-BCD3-DAEC24395002},1076,-76.99274861307813,38.88888076533984
None,,1,2030,2016,ADA_APSPt_1077,1473977159000,1719520978000,,{CFCA8E9B-128D-41FE-9B52-F59AC4E0835B},1077,-77.02413481187398,38.89221231254457
None,,1,2030,2016,ADA_APSPt_1078,1472507454000,1719520978000,,{FD3ECD39-FC65-475E-B483-A07C4B61EC1D},1078,-77.07323938843544,38.9224488290371
None,,1,2030,2016,ADA_APSPt_1079,1470327983000,1719520978000,,{41D3424E-45B6-498A-B482-32F70169B557},1079,-77.02582927945508,38.960199654558565
Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_1080,,1719520978000,,{EC83ACC8-2BB8-40BE-8DC1-55A574E97F56},1080,-77.02505336725773,38.9406904592777
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1081,,1719520978000,,{404CDE8C-C4BA-47DE-9B61-F4EB1DE15F95},1081,-76.99109757389371,38.873202364768005
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1082,1470420776000,1719520978000,,{7BDC11E5-ED19-4214-BF28-71FEBAF70901},1082,-77.02283751335014,38.9167810479411
None,,1,2030,2016,ADA_APSPt_1083,1471383375000,1719520978000,,{2A61FB9E-D21D-4371-8156-E067BBA4B51F},1083,-76.98085081031536,38.923512852482496
None,,1,2030,2016,ADA_APSPt_1084,1471882351000,1719520978000,,{3726DD05-1E92-413A-9DCA-DF55ED63A537},1084,-77.0084159020287,38.91254698319801
None,,1,2030,2016,ADA_APSPt_1085,1473712534000,1719520978000,,{40BF0C87-7816-4F2F-9DAD-BD4C0E06BCD0},1085,-77.02217058820928,38.92244296663468
None,,1,2030,2016,ADA_APSPt_1086,1467425312000,1719520978000,,{69A45440-14FE-44AF-833A-60CF0DA4DF2E},1086,-77.0856164355542,38.93839395201919
